agent_id,step,n_episodes,survival_rate,wipe_rate,corner_rate,avg_duration,avg_reward
3,195000,5000,0.9714,0.0002,0.0,98.41,9.5524
3,200000,5000,0.9712,0.0,0.0,97.43,9.4525
3,205000,5000,0.9698,0.0006,0.0,96.89,9.3839
3,210000,5000,0.96,0.0,0.0,96.73,9.2689
3,215000,5000,0.9652,0.0008,0.0,96.72,9.3207
3,220000,5000,0.9708,0.0,0.0,97.58,9.4627
3,225000,5000,0.974,0.0,0.0,98.01,9.5387
3,230000,5000,0.9552,0.0004,0.0,96.92,9.2398
3,235000,5000,0.974,0.0,0.0,98.0,9.5369
3,240000,5000,0.97,0.0002,0.0,97.94,9.4906
3,245000,5000,0.9686,0.0004,0.0,95.49,9.2319
3,250000,5000,0.9636,0.0,0.0,97.34,9.3667
3,255000,5000,0.9716,0.0004,0.0,97.58,9.4712
3,260000,5000,0.969,0.0002,0.0,97.86,9.4734
3,265000,5000,0.967,0.0002,0.0,97.5,9.4164
3,270000,5000,0.9618,0.0,0.0,97.45,9.3593
3,275000,5000,0.9688,0.0002,0.0,97.51,9.4362
3,280000,5000,0.9746,0.0002,0.0,96.88,9.4313
3,285000,5000,0.9552,0.0,0.0,95.97,9.1442
3,290000,5000,0.9738,0.0006,0.0,96.2,9.3555
3,295000,5000,0.9758,0.0006,0.0,95.93,9.4497
3,300000,5000,0.9636,0.0004,0.0,96.08,9.2996
4,5000,5000,0.1908,0.0178,0.0,1.59,-8.0135
4,10000,5000,0.2412,0.0166,0.0,1.95,-7.4689
4,15000,5000,0.4878,0.0244,0.0,6.41,-4.5328
4,20000,5000,0.7306,0.0148,0.0,17.88,-0.9327
4,25000,5000,0.7802,0.0106,0.0,27.5,0.5304
4,30000,5000,0.8972,0.0048,0.0,60.93,5.0677
4,35000,5000,0.9146,0.0034,0.0,71.74,6.3117
4,40000,5000,0.9174,0.0034,0.0,70.6,6.2258
4,45000,5000,0.9342,0.0022,0.0,82.85,7.6205
4,50000,5000,0.9552,0.0008,0.0,91.51,8.6981
4,55000,5000,0.9664,0.0012,0.0,92.79,8.9393
4,60000,5000,0.946,0.0008,0.0,89.76,8.4303
4,65000,5000,0.9676,0.0014,0.0,90.57,8.7299
4,70000,5000,0.9614,0.0016,0.0,88.71,8.4808
4,75000,5000,0.9682,0.0006,0.0,93.49,9.0275
4,80000,5000,0.961,0.001,0.0,93.13,8.9188
4,85000,5000,0.9688,0.0008,0.0,95.38,9.2227
4,90000,5000,0.9596,0.0008,0.0,90.43,8.6352
4,95000,5000,0.9626,0.0002,0.0,96.37,9.259
4,100000,5000,0.9698,0.0002,0.0,95.83,9.2781
4,105000,5000,0.9828,0.0004,0.0,97.81,9.6078
4,110000,5000,0.9578,0.0002,0.0,93.11,8.8852
4,115000,5000,0.976,0.0004,0.0,96.26,9.3834
4,120000,5000,0.9644,0.0,0.0,97.29,9.3697
4,125000,5000,0.968,0.0008,0.0,94.84,9.1604
4,130000,5000,0.9738,0.0002,0.0,95.8,9.3154
4,135000,5000,0.9672,0.0004,0.0,95.81,9.2499
4,140000,5000,0.9664,0.0,0.0,95.11,9.1714
4,145000,5000,0.9706,0.0002,0.0,96.86,9.3894
4,150000,5000,0.9798,0.0002,0.0,98.29,9.6249
4,155000,5000,0.9642,0.0006,0.0,95.23,9.161
4,160000,5000,0.9728,0.0,0.0,97.66,9.491
4,165000,5000,0.9716,0.0004,0.0,96.02,9.3151
4,170000,5000,0.97,0.0,0.0,97.47,9.4442
4,175000,5000,0.9702,0.0002,0.0,95.72,9.2836
4,180000,5000,0.9566,0.0002,0.0,95.27,9.0889
4,185000,5000,0.9738,0.0002,0.0,97.29,9.4646
4,190000,5000,0.9696,0.0004,0.0,95.81,9.2833
4,195000,5000,0.9732,0.0,0.0,98.13,9.5428
4,200000,5000,0.9786,0.0006,0.0,98.54,9.6379
4,205000,5000,0.9676,0.0,0.0,97.89,9.4616
4,210000,5000,0.9688,0.0,0.0,96.64,9.3489
4,215000,5000,0.9764,0.0,0.0,98.78,9.6397
4,220000,5000,0.969,0.0006,0.0,95.98,9.4331
4,225000,5000,0.9772,0.0,0.0,98.7,9.6397
4,230000,5000,0.9744,0.0,0.0,97.69,9.5106
4,235000,5000,0.9684,0.0,0.0,97.51,9.4321
4,240000,5000,0.98,0.0,0.0,98.33,9.6311
4,245000,5000,0.9592,0.0,0.0,96.67,9.2588
4,250000,5000,0.969,0.0002,0.0,97.95,9.4815
4,255000,5000,0.9648,0.0,0.0,97.48,9.392
4,260000,5000,0.9654,0.0,0.0,97.59,9.41
4,265000,5000,0.9708,0.0002,0.0,96.15,9.3193
4,270000,5000,0.9798,0.0002,0.0,99.87,9.8122
4,275000,5000,0.978,0.0,0.0,97.93,9.5668
